ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
9.1.0,true,base,message,keyword,core,,Hello World,Log message optimized for viewing in a log viewer.
9.1.0,true,checksum,checksum.hash.sha1,keyword,custom,,,SHA1 hash used as checksum of the data collected by the agent.
9.1.0,true,host,host.ip,ip,core,array,,Host ip addresses.
9.1.0,true,login,login.status,boolean,custom,,,Whether the login was successful or the user is currently logged in.
9.1.0,true,login,login.tty,keyword,custom,,,"Terminal associated with the login session (e.g., pts/1)."
9.1.0,true,login,login.type,keyword,custom,,,"Type of login session. Example values: ""user"", ""system"", ""remote""."
9.1.0,true,process,process.pid,long,core,,4242,Process id.
9.1.0,true,state,state.document_version,integer,custom,,,Version of the document.
9.1.0,true,state,state.modified_at,date,custom,,,Date/time when the state was last modified.
9.1.0,true,user,user.auth_failures.count,integer,custom,,,Number of failed authentication attempts.
9.1.0,true,user,user.auth_failures.timestamp,date,custom,,,Timestamp of the last authentication failure.
9.1.0,true,user,user.created,date,custom,,,Datetime when the user was created.
9.1.0,true,user,user.full_name,keyword,extended,,Albert Einstein,"User's full name, if available."
9.1.0,true,user,user.group.id,unsigned_long,custom,,,Group ID.
9.1.0,true,user,user.group.id_signed,long,custom,,,Signed group ID.
9.1.0,true,user,user.groups,keyword,custom,array,,List of groups the user belongs to.
9.1.0,true,user,user.home,keyword,custom,,,Home directory of the user.
9.1.0,true,user,user.id,keyword,core,,S-1-5-21-202424912787-2692429404-2351956786-1000,Unique identifier of the user.
9.1.0,true,user,user.is_hidden,boolean,custom,,,Whether the user is hidden.
9.1.0,true,user,user.is_remote,boolean,custom,,,Whether the user is remote.
9.1.0,true,user,user.last_login,date,custom,,,Date of the last login.
9.1.0,true,user,user.name,keyword,core,,a.einstein,Short name or login of the user.
9.1.0,true,user,user.password.expiration_date,date,custom,,,Password expiration date (epoch).
9.1.0,true,user,user.password.hash_algorithm,keyword,custom,,,Algorithm used to hash the password.
9.1.0,true,user,user.password.inactive_days,integer,custom,,,Number of days of inactivity before disabling the password.
9.1.0,true,user,user.password.last_change,integer,custom,,,Days since epoch when password was last changed.
9.1.0,true,user,user.password.last_set_time,date,custom,,,Time the password was last set (epoch).
9.1.0,true,user,user.password.max_days_between_changes,integer,custom,,,Maximum days between password changes.
9.1.0,true,user,user.password.min_days_between_changes,integer,custom,,,Minimum days between password changes.
9.1.0,true,user,user.password.status,keyword,custom,,,"Password status (e.g., active)."
9.1.0,true,user,user.password.warning_days_before_expiration,integer,custom,,,Days before expiration to warn user.
9.1.0,true,user,user.roles,keyword,custom,"array, array","[""kibana_admin"", ""reporting_user""]",Roles assigned to the user.
9.1.0,true,user,user.shell,keyword,custom,,,Shell used by the user.
9.1.0,true,user,user.type,keyword,custom,,,"Type of user (e.g., ""system"", ""regular"")."
9.1.0,true,user,user.uid_signed,long,custom,,,Signed user ID.
9.1.0,true,user,user.uuid,keyword,custom,,,UUID of the user.
9.1.0,true,wazuh,wazuh.agent.groups,keyword,custom,array,"[""group1"", ""group2""]",List of groups the agent belongs to.
9.1.0,true,wazuh,wazuh.agent.host.architecture,keyword,core,,x86_64,Operating system architecture.
9.1.0,true,wazuh,wazuh.agent.host.hostname,keyword,core,,,Hostname of the host.
9.1.0,true,wazuh,wazuh.agent.host.ip,ip,core,array,,Host ip addresses.
9.1.0,true,wazuh,wazuh.agent.host.os.name,keyword,extended,,Mac OS X,"Operating system name, without the version."
9.1.0,true,wazuh,wazuh.agent.host.os.platform,keyword,extended,,darwin,"Operating system platform (such centos, ubuntu, windows)."
9.1.0,true,wazuh,wazuh.agent.host.os.type,keyword,extended,,macos,"Which commercial OS family (one of: linux, macos, unix, windows, ios or android)."
9.1.0,true,wazuh,wazuh.agent.host.os.version,keyword,extended,,10.14.1,Operating system version as a raw string.
9.1.0,true,wazuh,wazuh.agent.id,keyword,core,,8a4f500d,Unique identifier of this agent.
9.1.0,true,wazuh,wazuh.agent.name,keyword,core,,foo,Custom name of the agent.
9.1.0,true,wazuh,wazuh.agent.version,keyword,core,,6.0.0-rc2,Version of the agent.
9.1.0,true,wazuh,wazuh.cluster.name,keyword,custom,,,Wazuh cluster name.
9.1.0,true,wazuh,wazuh.cluster.node,keyword,custom,,,Wazuh cluster node name.
9.1.0,true,wazuh,wazuh.schema.version,keyword,custom,,,Wazuh schema version.
